DATASETS FILTERED by FORMAT and TOPIC,TOTAL COUNT,,,
Development and infrastructure,,,Development and infrastructure,
https://open.toronto.ca/dataset/site-and-area-specific-policies/,1,,https://open.toronto.ca/dataset/triangular-irregular-network-tin/,1
https://open.toronto.ca/dataset/secondary-plans/,2,,https://open.toronto.ca/dataset/community-planning-boundaries/,2
https://open.toronto.ca/dataset/bridge-structure/,3,,https://open.toronto.ca/dataset/watermain-breaks/,3
,,,https://open.toronto.ca/dataset/heritage-shoreline-evolution/,4
,,,,
Business,,,Business,
https://open.toronto.ca/dataset/places-of-interest-and-toronto-attractions/,1,,,
,,,,
Permits and licenses,,,Permits and licenses,
https://open.toronto.ca/dataset/sign-bylaw-districts/,1,,,
,,,,
Parks and recreation,,,Parks and recreation,
,,,https://open.toronto.ca/dataset/parks-drinking-fountains/,1
,,,,
Garbage and recycling,,,Garbage and recycling,
,,,https://open.toronto.ca/dataset/solid-waste-management-districts/,1
,,,https://open.toronto.ca/dataset/solid-waste-in-park-assets/,2
,,,https://open.toronto.ca/dataset/solid-waste-daytime-curbside-collection-areas/,3
,,,,
Finance,,,Finance,
,,,https://open.toronto.ca/catalogue/?topics=Finance&formats=SHP,1
,,,,
Locations and mapping,,,Locations and mapping,
https://open.toronto.ca/dataset/neighbourhoods/,1,,https://open.toronto.ca/dataset/address-points-municipal-toronto-one-address-repository/,1
https://open.toronto.ca/dataset/property-boundaries/,2,,https://open.toronto.ca/dataset/residential-front-yard-parking/,2
https://open.toronto.ca/dataset/zoning-by-law/,3,,https://open.toronto.ca/dataset/utility-cut-permits/,3
,,,https://open.toronto.ca/dataset/tennis-courts-facilities/,4
,,,https://open.toronto.ca/dataset/heritage-register/,5
,,,https://open.toronto.ca/dataset/3d-massing/,6
,,,https://open.toronto.ca/dataset/ttc-subway-shapefiles/,7
,,,https://open.toronto.ca/dataset/topographic-mapping-poles/,8
